timestamp,sensor_id,temperature,humidity
2026-01-01 00:00:00,sensor_02,25.25,51.18
2026-01-01 00:05:00,sensor_01,24.93,53.28
2026-01-01 00:10:00,sensor_03,25.32,54.17
2026-01-01 00:15:00,sensor_02,25.76,58.78
2026-01-01 00:20:00,sensor_03,24.88,56.11
2026-01-01 00:25:00,sensor_01,24.88,52.33
2026-01-01 00:30:00,sensor_03,25.79,55.97
2026-01-01 00:35:00,sensor_01,25.38,51.91
2026-01-01 00:40:00,sensor_02,24.77,57.17
2026-01-01 00:45:00,sensor_02,25.27,54.06
2026-01-01 00:50:00,sensor_03,24.77,54.81
2026-01-01 00:55:00,sensor_01,24.77,57.65
2026-01-01 01:00:00,sensor_01,25.64,52.17
2026-01-01 01:05:00,sensor_01,24.56,51.95
2026-01-01 01:10:00,sensor_03,24.66,53.57
2026-01-01 01:15:00,sensor_01,25.24,56.82
2026-01-01 01:20:00,sensor_01,25.01,51.7
2026-01-01 01:25:00,sensor_01,25.67,49.08
2026-01-01 01:30:00,sensor_01,25.06,53.84
2026-01-01 01:35:00,sensor_03,24.81,55.84
2026-01-01 01:40:00,sensor_03,26.25,57.14
2026-01-01 01:45:00,sensor_01,25.4,53.81
2026-01-01 01:50:00,sensor_01,25.55,53.92
2026-01-01 01:55:00,sensor_02,24.81,57.05
2026-01-01 02:00:00,sensor_02,25.73,50.76
2026-01-01 02:05:00,sensor_01,-11.76,53.72
2026-01-01 02:10:00,sensor_01,25.42,54.88
2026-01-01 02:15:00,sensor_02,26.19,55.4
2026-01-01 02:20:00,sensor_02,25.7,53.48
2026-01-01 02:25:00,sensor_01,25.85,54.57
2026-01-01 02:30:00,sensor_03,25.7,49.52
2026-01-01 02:35:00,sensor_03,26.93,53.18
2026-01-01 02:40:00,sensor_01,25.99,55.41
2026-01-01 02:45:00,sensor_01,25.47,52.54
2026-01-01 02:50:00,sensor_02,26.41,54.62
2026-01-01 02:55:00,sensor_02,25.39,55.39
2026-01-01 03:00:00,sensor_03,26.52,53.61
2026-01-01 03:05:00,sensor_01,25.43,54.63
2026-01-01 03:10:00,sensor_02,25.75,52.37
2026-01-01 03:15:00,sensor_03,26.51,53.88
2026-01-01 03:20:00,sensor_03,26.78,55.51
2026-01-01 03:25:00,sensor_03,26.5,54.61
2026-01-01 03:30:00,sensor_02,26.36,53.12
2026-01-01 03:35:00,sensor_02,26.26,54.74
2026-01-01 03:40:00,sensor_01,25.67,55.72
2026-01-01 03:45:00,sensor_01,26.05,50.19
2026-01-01 03:50:00,sensor_03,26.18,56.61
2026-01-01 03:55:00,sensor_03,26.94,53.62
2026-01-01 04:00:00,sensor_02,26.9,54.98
2026-01-01 04:05:00,sensor_02,25.85,56.53
2026-01-01 04:10:00,sensor_01,26.89,51.39
2026-01-01 04:15:00,sensor_01,26.54,52.72
2026-01-01 04:20:00,sensor_01,26.39,53.56
2026-01-01 04:25:00,sensor_02,27.04,52.57
2026-01-01 04:30:00,sensor_03,27.25,57.6
2026-01-01 04:35:00,sensor_01,27.2,52.42
2026-01-01 04:40:00,sensor_01,26.31,53.02
2026-01-01 04:45:00,sensor_02,26.58,54.54
2026-01-01 04:50:00,sensor_01,26.9,51.73
2026-01-01 04:55:00,sensor_03,27.22,53.34
2026-01-01 05:00:00,sensor_02,26.69,54.67
2026-01-01 05:05:00,sensor_01,26.84,53.37
2026-01-01 05:10:00,sensor_01,26.38,53.85
2026-01-01 05:15:00,sensor_02,26.33,52.98
2026-01-01 05:20:00,sensor_02,27.34,51.01
2026-01-01 05:25:00,sensor_01,27.61,54.68
2026-01-01 05:30:00,sensor_03,26.9,57.54
2026-01-01 05:35:00,sensor_02,27.43,54.07
2026-01-01 05:40:00,sensor_03,27.11,54.48
2026-01-01 05:45:00,sensor_01,26.61,55.42
2026-01-01 05:50:00,sensor_03,27.11,51.5
2026-01-01 05:55:00,sensor_01,27.7,57.44
2026-01-01 06:00:00,sensor_01,26.98,54.4
2026-01-01 06:05:00,sensor_01,27.78,57.26
2026-01-01 06:10:00,sensor_01,25.69,52.53
2026-01-01 06:15:00,sensor_03,27.41,57.64
2026-01-01 06:20:00,sensor_01,27.04,55.55
2026-01-01 06:25:00,sensor_01,26.85,55.11
2026-01-01 06:30:00,sensor_03,27.05,54.47
2026-01-01 06:35:00,sensor_02,26.01,53.5
2026-01-01 06:40:00,sensor_03,115.91,56.4
2026-01-01 06:45:00,sensor_03,27.18,54.28
2026-01-01 06:50:00,sensor_03,27.74,50.07
2026-01-01 06:55:00,sensor_01,26.74,51.77
2026-01-01 07:00:00,sensor_01,26.53,53.66
2026-01-01 07:05:00,sensor_01,26.68,54.65
2026-01-01 07:10:00,sensor_02,27.39,53.92
2026-01-01 07:15:00,sensor_01,27.1,56.47
2026-01-01 07:20:00,sensor_02,26.67,50.13
2026-01-01 07:25:00,sensor_01,27.19,54.32
2026-01-01 07:30:00,sensor_03,26.98,50.4
2026-01-01 07:35:00,sensor_01,27.42,55.55
2026-01-01 07:40:00,sensor_02,26.58,53.85
2026-01-01 07:45:00,sensor_02,26.77,54.87
2026-01-01 07:50:00,sensor_01,26.74,52.31
2026-01-01 07:55:00,sensor_03,26.2,56.59
2026-01-01 08:00:00,sensor_01,26.88,56.22
2026-01-01 08:05:00,sensor_01,26.86,55.3
2026-01-01 08:10:00,sensor_01,26.73,53.87
2026-01-01 08:15:00,sensor_03,26.61,55.29
2026-01-01 08:20:00,sensor_02,26.02,52.72
2026-01-01 08:25:00,sensor_03,84.12,55.85
2026-01-01 08:30:00,sensor_02,26.56,57.43
2026-01-01 08:35:00,sensor_02,26.33,56.28
2026-01-01 08:40:00,sensor_02,26.65,52.67
2026-01-01 08:45:00,sensor_03,26.93,54.86
2026-01-01 08:50:00,sensor_01,27.68,51.55
2026-01-01 08:55:00,sensor_01,26.82,55.28
2026-01-01 09:00:00,sensor_01,26.54,55.19
2026-01-01 09:05:00,sensor_01,26.38,50.55
2026-01-01 09:10:00,sensor_01,25.45,51.97
2027-01-01 09:15:00,sensor_03,26.4,53.73
2026-01-01 09:20:00,sensor_03,26.44,53.69
2026-01-01 09:25:00,sensor_03,27.65,51.87
2026-01-01 09:30:00,sensor_03,26.32,55.07
2026-01-01 09:35:00,sensor_03,26.56,54.8
2026-01-01 09:40:00,sensor_03,26.4,53.9
2026-01-01 09:45:00,sensor_03,25.83,52.78
2026-01-01 09:50:00,sensor_01,26.99,56.39
2026-01-01 09:55:00,sensor_02,26.79,57.6
2026-01-01 10:00:00,sensor_03,26.4,53.53
2026-01-01 10:05:00,sensor_02,25.55,53.28
2026-01-01 10:10:00,sensor_03,26.7,55.48
2026-01-01 10:15:00,sensor_03,25.3,53.78
2026-01-01 10:20:00,sensor_01,26.29,54.22
2026-01-01 10:25:00,sensor_02,27.1,55.98
2026-01-01 10:30:00,sensor_01,25.5,50.68
2026-01-01 10:35:00,sensor_01,25.72,57.14
2026-01-01 10:40:00,sensor_02,26.05,54.65
2026-01-01 10:45:00,sensor_01,25.75,53.68
2026-01-01 10:50:00,sensor_03,25.22,54.32
2026-01-01 10:55:00,sensor_03,26.03,54.42
2026-01-01 11:00:00,sensor_03,24.99,51.28
2026-01-01 11:05:00,sensor_03,25.75,57.73
2026-01-01 11:10:00,sensor_03,25.06,54.82
2026-01-01 11:15:00,sensor_01,26.29,55.63
2026-01-01 11:20:00,sensor_01,25.13,56.64
2026-01-01 11:25:00,sensor_03,25.36,52.7
2026-01-01 11:30:00,sensor_03,25.92,55.69
2026-01-01 11:35:00,sensor_01,24.9,54.21
2026-01-01 11:40:00,sensor_02,25.63,56.43
2026-01-01 11:45:00,sensor_01,26.17,50.49
2026-01-01 11:50:00,sensor_01,24.71,54.54
2026-01-01 11:55:00,sensor_01,25.61,53.54
2026-01-01 12:00:00,sensor_01,25.13,55.86
2026-01-01 12:05:00,sensor_01,25.39,55.94
2026-01-01 12:10:00,sensor_02,24.38,53.58
2026-01-01 12:15:00,sensor_03,24.34,53.58
2026-01-01 12:20:00,sensor_03,25.26,54.78
2026-01-01 12:25:00,sensor_02,25.15,53.21
2026-01-01 12:30:00,sensor_03,25.13,56.68
2026-01-01 12:35:00,sensor_03,25.17,54.26
2026-01-01 12:40:00,sensor_03,24.66,49.19
2026-01-01 12:45:00,sensor_02,25.12,54.25
